County,State,Total
Autauga County, Alabama,55601
Baldwin County, Alabama,218022
Barbour County, Alabama,24881
Bibb County, Alabama,22400
Blount County, Alabama,57840
Bullock County, Alabama,10138
Butler County, Alabama,19680
Calhoun County, Alabama,114277
Chambers County, Alabama,33615
Cherokee County, Alabama,26032
Chilton County, Alabama,44153
Choctaw County, Alabama,12841
Clarke County, Alabama,23920
Clay County, Alabama,13275
Cleburne County, Alabama,14987
Coffee County, Alabama,51909
Colbert County, Alabama,54762
Conecuh County, Alabama,12277
Coosa County, Alabama,10715
Covington County, Alabama,36986
Crenshaw County, Alabama,13824
Cullman County, Alabama,83442
Dale County, Alabama,48956
Dallas County, Alabama,38310
DeKalb County, Alabama,71385
Elmore County, Alabama,81887
Escambia County, Alabama,36748
Etowah County, Alabama,102501
Fayette County, Alabama,16433
Franklin County, Alabama,31363
Geneva County, Alabama,26314
Greene County, Alabama,8233
Hale County, Alabama,14726
Henry County, Alabama,17209
Houston County, Alabama,104722
Jackson County, Alabama,51736
Jefferson County, Alabama,659300
Lamar County, Alabama,13844
Lauderdale County, Alabama,92387
Lawrence County, Alabama,32957
Lee County, Alabama,163941
Limestone County, Alabama,96174
Lowndes County, Alabama,9974
Macon County, Alabama,18439
Madison County, Alabama,366519
Marengo County, Alabama,19066
Marion County, Alabama,29763
Marshall County, Alabama,96109
Mobile County, Alabama,413757
Monroe County, Alabama,21067
Montgomery County, Alabama,225763
Morgan County, Alabama,119089
Perry County, Alabama,9140
Pickens County, Alabama,19938
Pike County, Alabama,33338
Randolph County, Alabama,22725
Russell County, Alabama,57781
St Clair County, Alabama,88690
Shelby County, Alabama,215707
Sumter County, Alabama,12691
Talladega County, Alabama,79828
Tallapoosa County, Alabama,40497
Tuscaloosa County, Alabama,208911
Walker County, Alabama,63711
Washington County, Alabama,16378
Wilcox County, Alabama,10627
Winston County, Alabama,23660
Aleutians East Borough, Alaska,3515
Aleutians West Census Area, Alaska,5723
Anchorage, Alaska,291538
Bethel Census Area, Alaska,18216
Bristol Bay Borough, Alaska,877
Denali Borough, Alaska,2059
Dillingham Census Area, Alaska,5000
Fairbanks North Star Borough, Alaska,98971
Haines Borough, Alaska,2474
Hoonah-Angoon Census Area, Alaska,2151
Juneau City and Borough, Alaska,32113
Kenai Peninsula Borough, Alaska,58533
Ketchikan Gateway Borough, Alaska,13918
Kodiak Island Borough, Alaska,13345
Kusilvak Census Area, Alaska,8303
Lake and Peninsula Borough, Alaska,1587
Matanuska-Susitna Borough, Alaska,107610
Nome Census Area, Alaska,10008
North Slope Borough, Alaska,9872
Northwest Arctic Borough, Alaska,7671
Petersburg Borough, Alaska,3221
Prince of Wales-Hyder Census Area, Alaska,6422
Sitka City and Borough, Alaska,8647
Skagway Municipality, Alaska,1148
Southeast Fairbanks Census Area, Alaska,6918
Valdez-Cordova Census Area, Alaska,9164
Wrangell City and Borough, Alaska,2503
Yakutat City and Borough, Alaska,604
Yukon-Koyukuk Census Area, Alaska,5327
Apache County, Arizona,71818
Cochise County, Arizona,126770
Coconino County, Arizona,142854
Gila County, Arizona,53889
Graham County, Arizona,38072
Greenlee County, Arizona,9483
La Paz County, Arizona,21098
Maricopa County, Arizona,4410824
Mohave County, Arizona,209550
Navajo County, Arizona,110445
Pima County, Arizona,1039073
Pinal County, Arizona,447138
Santa Cruz County, Arizona,46511
Yavapai County, Arizona,231993
Yuma County, Arizona,212128
Arkansas County, Arkansas,17769
Ashley County, Arkansas,20046
Baxter County, Arkansas,41619
Benton County, Arkansas,272608
Boone County, Arkansas,37480
Bradley County, Arkansas,10897
Calhoun County, Arkansas,5277
Carroll County, Arkansas,28223
Chicot County, Arkansas,10438
Clark County, Arkansas,22061
Clay County, Arkansas,14847
Cleburne County, Arkansas,24965
Cleveland County, Arkansas,8018
Columbia County, Arkansas,23537
Conway County, Arkansas,20891
Craighead County, Arkansas,108558
Crawford County, Arkansas,63406
Crittenden County, Arkansas,48342
Cross County, Arkansas,16676
Dallas County, Arkansas,7182
Desha County, Arkansas,11512
Drew County, Arkansas,18328
Faulkner County, Arkansas,124806
Franklin County, Arkansas,17810
Fulton County, Arkansas,12269
Garland County, Arkansas,99154
Grant County, Arkansas,18188
Greene County, Arkansas,45325
Hempstead County, Arkansas,21741
Hot Spring County, Arkansas,33701
Howard County, Arkansas,13341
Independence County, Arkansas,37678
Izard County, Arkansas,13593
Jackson County, Arkansas,16811
Jefferson County, Arkansas,68114
Johnson County, Arkansas,26742
Lafayette County, Arkansas,6682
Lawrence County, Arkansas,16434
Lee County, Arkansas,8985
Lincoln County, Arkansas,13383
Little River County, Arkansas,12326
Logan County, Arkansas,21737
Lonoke County, Arkansas,73657
Madison County, Arkansas,16481
Marion County, Arkansas,16722
Miller County, Arkansas,43592
Mississippi County, Arkansas,41239
Monroe County, Arkansas,6900
Montgomery County, Arkansas,8924
Nevada County, Arkansas,8326
Newton County, Arkansas,7805
Ouachita County, Arkansas,23606
Perry County, Arkansas,10352
Phillips County, Arkansas,18029
Pike County, Arkansas,10673
Poinsett County, Arkansas,23974
Polk County, Arkansas,20049
Pope County, Arkansas,64000
Prairie County, Arkansas,8074
Pulaski County, Arkansas,392680
Randolph County, Arkansas,17948
St Francis County, Arkansas,25439
Saline County, Arkansas,121421
Scott County, Arkansas,10319
Searcy County, Arkansas,7958
Sebastian County, Arkansas,127753
Sevier County, Arkansas,17139
Sharp County, Arkansas,17366
Stone County, Arkansas,12457
Union County, Arkansas,39126
Van Buren County, Arkansas,16603
Washington County, Arkansas,236961
White County, Arkansas,78727
Woodruff County, Arkansas,6490
Yell County, Arkansas,21535
Alameda County, California,1666753
Alpine County, California,1101
Amador County, California,39383
Butte County, California,231256
Calaveras County, California,45602
Colusa County, California,21627
Contra Costa County, California,1150215
Del Norte County, California,27828
El Dorado County, California,190678
Fresno County, California,994400
Glenn County, California,28047
Humboldt County, California,136373
Imperial County, California,181827
Inyo County, California,17987
Kern County, California,896764
Kings County, California,151366
Lake County, California,64382
Lassen County, California,30802
Los Angeles County, California,10105518
Madera County, California,157672
Marin County, California,259666
Mariposa County, California,17471
Mendocino County, California,87606
Merced County, California,274765
Modoc County, California,8777
Mono County, California,14250
Monterey County, California,435594
Napa County, California,139417
Nevada County, California,99696
Orange County, California,3185968
Placer County, California,393149
Plumas County, California,18804
Riverside County, California,2450758
Sacramento County, California,1540975
San Benito County, California,61537
San Bernardino County, California,2171603
San Diego County, California,3343364
San Francisco County, California,883305
San Joaquin County, California,752660
San Luis Obispo County, California,284010
San Mateo County, California,769545
Santa Barbara County, California,446527
Santa Clara County, California,1937570
Santa Cruz County, California,274255
Shasta County, California,180040
Sierra County, California,2987
Siskiyou County, California,43724
Solano County, California,446610
Sonoma County, California,499942
Stanislaus County, California,549815
Sutter County, California,96807
Tehama County, California,63916
Trinity County, California,12535
Tulare County, California,465861
Tuolumne County, California,54539
Ventura County, California,850967
Yolo County, California,220408
Yuba County, California,78041
Adams County, Colorado,511868
Alamosa County, Colorado,16683
Arapahoe County, Colorado,651215
Archuleta County, Colorado,13765
Baca County, Colorado,3585
Bent County, Colorado,5882
Boulder County, Colorado,326078
Broomfield County, Colorado,69267
Chaffee County, Colorado,20027
Cheyenne County, Colorado,1876
Clear Creek County, Colorado,9605
Conejos County, Colorado,8200
Costilla County, Colorado,3828
Crowley County, Colorado,5858
Custer County, Colorado,4954
Delta County, Colorado,30953
Denver County, Colorado,716492
Dolores County, Colorado,2074
Douglas County, Colorado,342776
Eagle County, Colorado,54993
Elbert County, Colorado,26282
El Paso County, Colorado,713856
Fremont County, Colorado,48021
Garfield County, Colorado,59770
Gilpin County, Colorado,6121
Grand County, Colorado,15525
Gunnison County, Colorado,17246
Hinsdale County, Colorado,811
Huerfano County, Colorado,6889
Jackson County, Colorado,1399
Jefferson County, Colorado,580233
Kiowa County, Colorado,1383
Kit Carson County, Colorado,7163
Lake County, Colorado,7824
La Plata County, Colorado,56310
Larimer County, Colorado,350518
Las Animas County, Colorado,14503
Lincoln County, Colorado,5610
Logan County, Colorado,21528
Mesa County, Colorado,153207
Mineral County, Colorado,776
Moffat County, Colorado,13188
Montezuma County, Colorado,26158
Montrose County, Colorado,42214
Morgan County, Colorado,28558
Otero County, Colorado,18432
Ouray County, Colorado,4833
Park County, Colorado,18556
Phillips County, Colorado,4286
Pitkin County, Colorado,17950
Prowers County, Colorado,12164
Pueblo County, Colorado,167529
Rio Blanco County, Colorado,6336
Rio Grande County, Colorado,11250
Routt County, Colorado,25733
Saguache County, Colorado,6843
San Juan County, Colorado,762
San Miguel County, Colorado,8191
Sedgwick County, Colorado,2303
Summit County, Colorado,31007
Teller County, Colorado,25083
Washington County, Colorado,4909
Weld County, Colorado,314305
Yuma County, Colorado,10020
Fairfield County, Connecticut,943823
Hartford County, Connecticut,892697
Litchfield County, Connecticut,181111
Middlesex County, Connecticut,162682
New Haven County, Connecticut,857620
New London County, Connecticut,266784
Tolland County, Connecticut,150921
Windham County, Connecticut,117027
Kent County, Delaware,178550
New Castle County, Delaware,559335
Sussex County, Delaware,229286
District of Columbia, District of Columbia,702455
Alachua County, Florida,269956
Baker County, Florida,28355
Bay County, Florida,185287
Bradford County, Florida,27732
Brevard County, Florida,596849
Broward County, Florida,1951260
Calhoun County, Florida,14587
Charlotte County, Florida,184998
Citrus County, Florida,147929
Clay County, Florida,216072
Collier County, Florida,378488
Columbia County, Florida,70503
DeSoto County, Florida,37489
Dixie County, Florida,16700
Duval County, Florida,950181
Escambia County, Florida,315534
Flagler County, Florida,112067
Franklin County, Florida,11736
Gadsden County, Florida,45894
Gilchrist County, Florida,18256
Glades County, Florida,13724
Gulf County, Florida,16164
Hamilton County, Florida,14310
Hardee County, Florida,27245
Hendry County, Florida,41556
Hernando County, Florida,190865
Highlands County, Florida,105424
Hillsborough County, Florida,1436888
Holmes County, Florida,19477
Indian River County, Florida,157413
Jackson County, Florida,48305
Jefferson County, Florida,14288
Lafayette County, Florida,8732
Lake County, Florida,356495
Lee County, Florida,754610
Leon County, Florida,292502
Levy County, Florida,40770
Liberty County, Florida,8457
Madison County, Florida,18529
Manatee County, Florida,394855
Marion County, Florida,359977
Martin County, Florida,160912
Miami-Dade County, Florida,2761581
Monroe County, Florida,75027
Nassau County, Florida,85832
Okaloosa County, Florida,207269
Okeechobee County, Florida,41537
Orange County, Florida,1380645
Osceola County, Florida,367990
Palm Beach County, Florida,1485941
Pasco County, Florida,539630
Pinellas County, Florida,975280
Polk County, Florida,708009
Putnam County, Florida,74163
St Johns County, Florida,254261
St Lucie County, Florida,321128
Santa Rosa County, Florida,179349
Sarasota County, Florida,426718
Seminole County, Florida,467832
Sumter County, Florida,128754
Suwannee County, Florida,44191
Taylor County, Florida,21623
Union County, Florida,14940
Volusia County, Florida,547538
Wakulla County, Florida,32461
Walton County, Florida,71375
Washington County, Florida,24880
Appling County, Georgia,18507
Atkinson County, Georgia,8297
Bacon County, Georgia,11185
Baker County, Georgia,3092
Baldwin County, Georgia,44823
Banks County, Georgia,18988
Barrow County, Georgia,80809
Bartow County, Georgia,106408
Ben Hill County, Georgia,16787
Berrien County, Georgia,19252
Bibb County, Georgia,153095
Bleckley County, Georgia,12838
Brantley County, Georgia,18897
Brooks County, Georgia,15513
Bryan County, Georgia,38109
Bulloch County, Georgia,77296
Burke County, Georgia,22423
Butts County, Georgia,24193
Calhoun County, Georgia,6352
Camden County, Georgia,53677
Candler County, Georgia,10836
Carroll County, Georgia,118121
Catoosa County, Georgia,67420
Charlton County, Georgia,12968
Chatham County, Georgia,289195
Chattahoochee County, Georgia,10684
Chattooga County, Georgia,24790
Cherokee County, Georgia,254149
Clarke County, Georgia,127330
Clay County, Georgia,2887
Clayton County, Georgia,289615
Clinch County, Georgia,6648
Cobb County, Georgia,756865
Coffee County, Georgia,43093
Colquitt County, Georgia,45592
Columbia County, Georgia,154291
Cook County, Georgia,17162
Coweta County, Georgia,145864
Crawford County, Georgia,12318
Crisp County, Georgia,22601
Dade County, Georgia,16226
Dawson County, Georgia,25083
Decatur County, Georgia,26575
DeKalb County, Georgia,756558
Dodge County, Georgia,20705
Dooly County, Georgia,13706
Dougherty County, Georgia,91243
Douglas County, Georgia,145331
Early County, Georgia,10247
Echols County, Georgia,4000
Effingham County, Georgia,62190
Elbert County, Georgia,19120
Emanuel County, Georgia,22612
Evans County, Georgia,10721
Fannin County, Georgia,25964
Fayette County, Georgia,113459
Floyd County, Georgia,97927
Forsyth County, Georgia,236612
Franklin County, Georgia,23023
Fulton County, Georgia,1050114
Gilmer County, Georgia,30816
Glascock County, Georgia,2995
Glynn County, Georgia,85219
Gordon County, Georgia,57685
Grady County, Georgia,24748
Greene County, Georgia,17698
Gwinnett County, Georgia,927781
Habersham County, Georgia,45388
Hall County, Georgia,202148
Hancock County, Georgia,8348
Haralson County, Georgia,29533
Harris County, Georgia,34475
Hart County, Georgia,26099
Heard County, Georgia,11879
Henry County, Georgia,230220
Houston County, Georgia,155469
Irwin County, Georgia,9398
Jackson County, Georgia,70422
Jasper County, Georgia,14040
Jeff Davis County, Georgia,15029
Jefferson County, Georgia,15430
Jenkins County, Georgia,8683
Johnson County, Georgia,9708
Jones County, Georgia,28616
Lamar County, Georgia,19000
Lanier County, Georgia,10340
Laurens County, Georgia,47325
Lee County, Georgia,29764
Liberty County, Georgia,61497
Lincoln County, Georgia,7915
Long County, Georgia,18998
Lowndes County, Georgia,116321
Lumpkin County, Georgia,32955
McDuffie County, Georgia,21531
McIntosh County, Georgia,14340
Macon County, Georgia,13143
Madison County, Georgia,29650
Marion County, Georgia,8351
Meriwether County, Georgia,21068
Miller County, Georgia,5686
Mitchell County, Georgia,22192
Monroe County, Georgia,27520
Montgomery County, Georgia,9193
Morgan County, Georgia,18853
Murray County, Georgia,39921
Muscogee County, Georgia,194160
Newton County, Georgia,109541
Oconee County, Georgia,39272
Oglethorpe County, Georgia,15054
Paulding County, Georgia,164044
Peach County, Georgia,27297
Pickens County, Georgia,31980
Pierce County, Georgia,19389
Pike County, Georgia,18634
Polk County, Georgia,42470
Pulaski County, Georgia,11069
Putnam County, Georgia,21809
Quitman County, Georgia,2279
Rabun County, Georgia,16867
Randolph County, Georgia,6833
Richmond County, Georgia,201554
Rockdale County, Georgia,90594
Schley County, Georgia,5236
Screven County, Georgia,13938
Seminole County, Georgia,8315
Spalding County, Georgia,66100
Stephens County, Georgia,26035
Stewart County, Georgia,6199
Sumter County, Georgia,29733
Talbot County, Georgia,6272
Taliaferro County, Georgia,1608
Tattnall County, Georgia,25391
Taylor County, Georgia,8039
Telfair County, Georgia,15876
Terrell County, Georgia,8611
Thomas County, Georgia,44448
Tift County, Georgia,40571
Toombs County, Georgia,26887
Towns County, Georgia,11852
Treutlen County, Georgia,6809
Troup County, Georgia,70034
Turner County, Georgia,7912
Twiggs County, Georgia,8188
Union County, Georgia,24001
Upson County, Georgia,26215
Walker County, Georgia,69410
Walton County, Georgia,93503
Ware County, Georgia,35680
Warren County, Georgia,5251
Washington County, Georgia,20386
Wayne County, Georgia,29808
Webster County, Georgia,2611
Wheeler County, Georgia,7879
White County, Georgia,29970
Whitfield County, Georgia,104062
Wilcox County, Georgia,8812
Wilkes County, Georgia,9876
Wilkinson County, Georgia,9036
Worth County, Georgia,20299
Hawaii County, Hawaii,200983
Honolulu County, Hawaii,980080
Kalawao County, Hawaii,88
Kauai County, Hawaii,72133
Maui County, Hawaii,167207
Ada County, Idaho,469966
Adams County, Idaho,4250
Bannock County, Idaho,87138
Bear Lake County, Idaho,6050
Benewah County, Idaho,9226
Bingham County, Idaho,46236
Blaine County, Idaho,22601
Boise County, Idaho,7634
Bonner County, Idaho,44727
Bonneville County, Idaho,116854
Boundary County, Idaho,11948
Butte County, Idaho,2611
Camas County, Idaho,1127
Canyon County, Idaho,223499
Caribou County, Idaho,7060
Cassia County, Idaho,23864
Clark County, Idaho,852
Clearwater County, Idaho,8758
Custer County, Idaho,4280
Elmore County, Idaho,27259
Franklin County, Idaho,13726
Fremont County, Idaho,13168
Gem County, Idaho,17634
Gooding County, Idaho,15196
Idaho County, Idaho,16513
Jefferson County, Idaho,29439
Jerome County, Idaho,24015
Kootenai County, Idaho,161505
Latah County, Idaho,40134
Lemhi County, Idaho,7961
Lewis County, Idaho,3861
Lincoln County, Idaho,5360
Madison County, Idaho,39304
Minidoka County, Idaho,20825
Nez Perce County, Idaho,40408
Oneida County, Idaho,4488
Owyhee County, Idaho,11693
Payette County, Idaho,23551
Power County, Idaho,7768
Shoshone County, Idaho,12796
Teton County, Idaho,11640
Twin Falls County, Idaho,86081
Valley County, Idaho,11041
Washington County, Idaho,10161
Adams County, Illinois,65691
Alexander County, Illinois,6060
Bond County, Illinois,16630
Boone County, Illinois,53577
Brown County, Illinois,6556
Bureau County, Illinois,32993
Calhoun County, Illinois,4802
Carroll County, Illinois,14312
Cass County, Illinois,12260
Champaign County, Illinois,209983
Christian County, Illinois,32661
Clark County, Illinois,15596
Clay County, Illinois,13253
Clinton County, Illinois,37639
Coles County, Illinois,50885
Cook County, Illinois,5180493
Crawford County, Illinois,18807
Cumberland County, Illinois,10808
DeKalb County, Illinois,104143
De Witt County, Illinois,15769
Douglas County, Illinois,19479
DuPage County, Illinois,928589
Edgar County, Illinois,17360
Edwards County, Illinois,6392
Effingham County, Illinois,34208
Fayette County, Illinois,21416
Ford County, Illinois,13264
Franklin County, Illinois,38701
Fulton County, Illinois,34844
Gallatin County, Illinois,5058
Greene County, Illinois,13044
Grundy County, Illinois,50972
Hamilton County, Illinois,8163
Hancock County, Illinois,17844
Hardin County, Illinois,3910
Henderson County, Illinois,6709
Henry County, Illinois,49090
Iroquois County, Illinois,27604
Jackson County, Illinois,57419
Jasper County, Illinois,9611
Jefferson County, Illinois,37820
Jersey County, Illinois,21847
Jo Daviess County, Illinois,21366
Johnson County, Illinois,12456
Kane County, Illinois,534216
Kankakee County, Illinois,110024
Kendall County, Illinois,127915
Knox County, Illinois,50112
Lake County, Illinois,700832
LaSalle County, Illinois,109430
Lawrence County, Illinois,15765
Lee County, Illinois,34223
Livingston County, Illinois,35761
Logan County, Illinois,28925
McDonough County, Illinois,29955
McHenry County, Illinois,308570
McLean County, Illinois,172828
Macon County, Illinois,104712
Macoupin County, Illinois,45313
Madison County, Illinois,264461
Marion County, Illinois,37620
Marshall County, Illinois,11534
Mason County, Illinois,13565
Massac County, Illinois,14080
Menard County, Illinois,12288
Mercer County, Illinois,15601
Monroe County, Illinois,34335
Montgomery County, Illinois,28601
Morgan County, Illinois,33976
Moultrie County, Illinois,14717
Ogle County, Illinois,50923
Peoria County, Illinois,180621
Perry County, Illinois,21174
Piatt County, Illinois,16396
Pike County, Illinois,15611
Pope County, Illinois,4212
Pulaski County, Illinois,5463
Putnam County, Illinois,5740
Randolph County, Illinois,32106
Richland County, Illinois,15763
Rock Island County, Illinois,143477
St Clair County, Illinois,261059
Saline County, Illinois,23906
Sangamon County, Illinois,195348
Schuyler County, Illinois,6907
Scott County, Illinois,4926
Shelby County, Illinois,21741
Stark County, Illinois,5427
Stephenson County, Illinois,44753
Tazewell County, Illinois,132328
Union County, Illinois,16841
Vermilion County, Illinois,76806
Wabash County, Illinois,11549
Warren County, Illinois,17032
Washington County, Illinois,13995
Wayne County, Illinois,16332
White County, Illinois,13665
Whiteside County, Illinois,55626
Will County, Illinois,692310
Williamson County, Illinois,67056
Winnebago County, Illinois,284081
Woodford County, Illinois,38463
Adams County, Indiana,35636
Allen County, Indiana,375351
Bartholomew County, Indiana,82753
Benton County, Indiana,8653
Blackford County, Indiana,11930
Boone County, Indiana,66999
Brown County, Indiana,15234
Carroll County, Indiana,20127
Cass County, Indiana,37955
Clark County, Indiana,117360
Clay County, Indiana,26170
Clinton County, Indiana,32250
Crawford County, Indiana,10558
Daviess County, Indiana,33147
Dearborn County, Indiana,49568
Decatur County, Indiana,26794
DeKalb County, Indiana,43226
Delaware County, Indiana,114772
Dubois County, Indiana,42565
Elkhart County, Indiana,205560
Fayette County, Indiana,23047
Floyd County, Indiana,77781
Fountain County, Indiana,16351
Franklin County, Indiana,22736
Fulton County, Indiana,20092
Gibson County, Indiana,33452
Grant County, Indiana,65936
Greene County, Indiana,32006
Hamilton County, Indiana,330086
Hancock County, Indiana,76351
Harrison County, Indiana,40350
Hendricks County, Indiana,167009
Henry County, Indiana,48271
Howard County, Indiana,82366
Huntington County, Indiana,36240
Jackson County, Indiana,44111
Jasper County, Indiana,33370
Jay County, Indiana,20764
Jefferson County, Indiana,32208
Jennings County, Indiana,27611
Johnson County, Indiana,156225
Knox County, Indiana,36895
Kosciusko County, Indiana,79344
LaGrange County, Indiana,39330
Lake County, Indiana,484411
LaPorte County, Indiana,110007
Lawrence County, Indiana,45668
Madison County, Indiana,129641
Marion County, Indiana,954670
Marshall County, Indiana,46248
Martin County, Indiana,10217
Miami County, Indiana,35567
Monroe County, Indiana,146917
Montgomery County, Indiana,38346
Morgan County, Indiana,70116
Newton County, Indiana,14011
Noble County, Indiana,47532
Ohio County, Indiana,5844
Orange County, Indiana,19489
Owen County, Indiana,20845
Parke County, Indiana,16927
Perry County, Indiana,19102
Pike County, Indiana,12410
Porter County, Indiana,169594
Posey County, Indiana,25540
Pulaski County, Indiana,12469
Putnam County, Indiana,37779
Randolph County, Indiana,24851
Ripley County, Indiana,28523
Rush County, Indiana,16663
St Joseph County, Indiana,270771
Scott County, Indiana,23878
Shelby County, Indiana,44593
Spencer County, Indiana,20327
Starke County, Indiana,22935
Steuben County, Indiana,34586
Sullivan County, Indiana,20690
Switzerland County, Indiana,10717
Tippecanoe County, Indiana,193048
Tipton County, Indiana,15128
Union County, Indiana,7037
Vanderburgh County, Indiana,180974
Vermillion County, Indiana,15479
Vigo County, Indiana,107386
Wabash County, Indiana,31280
Warren County, Indiana,8263
Warrick County, Indiana,62567
Washington County, Indiana,27943
Wayne County, Indiana,65936
Wells County, Indiana,28206
White County, Indiana,24133
Whitley County, Indiana,34074
Adair County, Iowa,7063
Adams County, Iowa,3645
Allamakee County, Iowa,13832
Appanoose County, Iowa,12437
Audubon County, Iowa,5506
Benton County, Iowa,25642
Black Hawk County, Iowa,132408
Boone County, Iowa,26346
Bremer County, Iowa,24947
Buchanan County, Iowa,21199
Buena Vista County, Iowa,19874
Butler County, Iowa,14539
Calhoun County, Iowa,9699
Carroll County, Iowa,20154
Cass County, Iowa,12930
Cedar County, Iowa,18627
Cerro Gordo County, Iowa,42647
Cherokee County, Iowa,11321
Chickasaw County, Iowa,11964
Clarke County, Iowa,9423
Clay County, Iowa,16134
Clayton County, Iowa,17556
